Player,ESPN_Player_ID,Representative_Team,Photo_URL,ESPN_Profile_URL
DT Patil,f48cf4da,Royal Challengers Bangalore,https://a.espncdn.com/i/headshots/cricket/players/full/f48cf4da.png,https://www.espncricinfo.com/cricketers/dt-patil-f48cf4da
DV Malewar,9e6032fa,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/9e6032fa.png,https://www.espncricinfo.com/cricketers/dv-malewar-9e6032fa
DW Steyn,8fd1a8f5,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/8fd1a8f5.png,https://www.espncricinfo.com/cricketers/dw-steyn-8fd1a8f5
Dhruv Jurel,bcf325d2,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/bcf325d2.png,https://www.espncricinfo.com/cricketers/dhruv-jurel-bcf325d2
E Lewis,0ebfb1ad,Lucknow Super Giants,https://a.espncdn.com/i/headshots/cricket/players/full/0ebfb1ad.png,https://www.espncricinfo.com/cricketers/e-lewis-0ebfb1ad
E Malinga,5750bcb4,Sunrisers Hyderabad,https://a.espncdn.com/i/headshots/cricket/players/full/5750bcb4.png,https://www.espncricinfo.com/cricketers/e-malinga-5750bcb4
EJG Morgan,d2a6c0e6,Kings XI Punjab,https://a.espncdn.com/i/headshots/cricket/players/full/d2a6c0e6.png,https://www.espncricinfo.com/cricketers/ejg-morgan-d2a6c0e6
ER Dwivedi,b274dbbd,Gujarat Lions,https://a.espncdn.com/i/headshots/cricket/players/full/b274dbbd.png,https://www.espncricinfo.com/cricketers/er-dwivedi-b274dbbd
F Behardien,dce2019b,Kings XI Punjab,https://a.espncdn.com/i/headshots/cricket/players/full/dce2019b.png,https://www.espncricinfo.com/cricketers/f-behardien-dce2019b
F du Plessis,3355b542,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/3355b542.png,https://www.espncricinfo.com/cricketers/f-du-plessis-3355b542
FA Allen,b52ffbbd,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/b52ffbbd.png,https://www.espncricinfo.com/cricketers/fa-allen-b52ffbbd
FH Allen,bf74b130,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/bf74b130.png,https://www.espncricinfo.com/cricketers/fh-allen-bf74b130
FH Edwards,a7c226e1,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/a7c226e1.png,https://www.espncricinfo.com/cricketers/fh-edwards-a7c226e1
FY Fazal,c15e2193,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/c15e2193.png,https://www.espncricinfo.com/cricketers/fy-fazal-c15e2193
Fazalhaq Farooqi,e9c7f0d0,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/e9c7f0d0.png,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-e9c7f0d0
